										
Fecha (GMT)	Altura Signif. del Oleaje(m)	Periodo Medio(s)	Periodo de Pico(s)	Direcc. Media de Proced.(0=N,90=E)	Mar de viento:  Altura signif. Espectral(m)	Mar de viento: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 1:  Altura signif. Espectral(m)	Mar de fondo 1:  Periodo Medio Espectral(s)	Mar de fondo 1: Direcc. Media de Proced.(0=N,90=E)	Mar de fondo 2:  Altura signif. Espectral(m)	Mar de fondo 2:  Periodo Medio Espectral(s)	Mar de fondo 2: Direcc. Media de Proced.(0=N,90=E)
2023 09 07 17	1.49	10.12	13.32	335	0.02	48	1.48	10.57	334	0.13	7.41	12
2023 09 07 18	1.46	10.01	12.11	334	0.03	55	1.45	10.48	334	0.12	7.39	12
2023 09 07 19	1.43	9.88	12.11	334	0.03	61	1.42	10.38	334	0.11	7.28	13
2023 09 07 20	1.39	9.67	12.11	334	0.03	64	1.38	10.27	334	0.1	7.27	13
2023 09 07 21	1.36	9.09	12.11	334	0.06	57	1.35	10.18	334	0.09	7.21	15
2023 09 07 22	1.33	8.35	12.11	334	0.09	53	1.31	10.15	333	0.08	7.2	15
2023 09 07 23	1.3	7.76	12.11	334	0.13	51	1.27	10.16	333	0.08	7.2	15
2023 09 08 00	1.27	7.49	12.11	334	0.11	56	1.24	10.12	333	0.07	7.19	15
2023 09 08 01	1.24	7.52	12.11	334	0.08	64	1.2	10.04	333	0.07	7.19	15
2023 09 08 02	1.2	7.55	12.11	334	0.08	65	1.17	9.95	333	0.07	7.19	15
2023 09 08 03	1.17	7.55	12.11	334	0.08	66	1.14	9.87	333	0.06	7.19	15
2023 09 08 04	1.14	7.61	12.11	334	0.05	67	1.11	9.78	333	0.06	7.19	15
2023 09 08 05	1.1	7.73	11.01	334	0.02	79	1.08	9.65	333	0.06	7.19	15
2023 09 08 06	1.07	7.87	11.01	334	0.0	180	1.05	9.52	333	0.05	7.19	15
2023 09 08 07	1.04	7.98	11.01	334	0.0	180	1.03	9.44	333	0.04	7.81	15
2023 09 08 08	1.02	8.06	11.01	334	0.0	180	1.0	9.34	333	0.03	7.82	15
2023 09 08 09	0.99	8.1	11.01	333	0.0	180	0.98	9.24	332	0.03	7.83	15
2023 09 08 10	0.97	8.05	11.01	333	0.0	180	0.96	9.16	332	0.03	7.84	15
2023 09 08 11	0.95	7.99	11.01	333	0.01	95	0.94	9.09	332	0.03	7.85	15
2023 09 08 12	0.93	7.98	11.01	333	0.0	180	0.92	9.03	332	0.09	3.03	58
2023 09 08 13	0.91	7.99	11.01	333	0.01	85	0.9	8.96	332	0.09	2.69	53
2023 09 08 14	0.89	7.99	11.01	333	0.01	95	0.88	8.87	332	0.09	2.43	50
2023 09 08 15	0.87	7.96	11.01	333	0.0	180	0.87	8.83	332	0.08	2.43	52
2023 09 08 16	0.86	7.86	11.01	333	0.0	180	0.85	8.79	332	0.08	2.49	54
2023 09 08 17	0.85	7.62	11.01	332	0.0	180	0.83	8.75	332	0.02	7.96	15
2023 09 08 18	0.84	6.7	11.01	332	0.04	20	0.82	8.73	332	0.12	2.66	306
2023 09 08 19	0.85	6.03	10.01	333	0.0	180	0.81	8.67	332	0.26	2.55	335
2023 09 08 20	0.85	5.78	10.01	333	0.0	180	0.79	8.69	332	0.21	3.0	322
2023 09 08 21	0.85	5.62	10.01	333	0.06	33	0.78	8.71	332	0.32	2.91	339
2023 09 08 22	0.84	5.46	10.01	334	0.08	34	0.76	8.64	332	0.33	2.93	340
2023 09 08 23	0.83	5.39	10.01	334	0.08	39	0.75	8.58	332	0.33	2.92	341
2023 09 09 00	0.82	5.44	10.01	334	0.0	180	0.74	8.52	332	0.33	2.77	343
2023 09 09 01	0.8	5.51	10.01	334	0.0	180	0.73	8.47	332	0.32	2.79	343
2023 09 09 02	0.78	5.54	10.01	334	0.0	180	0.72	8.43	332	0.31	2.78	344
2023 09 09 03	0.77	5.61	10.01	334	0.0	180	0.71	8.33	332	0.29	2.74	346
2023 09 09 04	0.75	5.65	10.01	334	0.0	180	0.7	8.07	332	0.26	2.6	348
2023 09 09 05	0.74	5.67	10.01	334	0.0	180	0.74	5.67	334	0.02	8.14	15
2023 09 09 06	0.72	5.69	10.01	334	0.0	180	0.72	5.69	334	0.02	8.14	15
2023 09 09 07	0.71	5.69	10.01	334	0.0	180	0.71	5.65	334	0.09	13.04	310
2023 09 09 08	0.71	5.41	10.01	334	0.04	17	0.7	5.59	334	0.09	13.02	310
2023 09 09 09	0.72	5.09	10.01	334	0.0	180	0.71	5.05	334	0.09	13.0	310
2023 09 09 10	0.73	4.96	10.01	334	0.03	19	0.65	7.36	333	0.12	13.47	320
2023 09 09 11	0.72	4.97	10.01	334	0.0	180	0.71	4.9	335	0.12	13.46	320
2023 09 09 12	0.72	5.03	10.01	334	0.0	180	0.7	4.96	334	0.12	13.43	320
2023 09 09 13	0.7	5.11	9.1	334	0.0	180	0.69	5.04	334	0.13	13.41	321
2023 09 09 14	0.69	5.2	9.1	334	0.03	23	0.67	5.22	334	0.13	13.39	321
2023 09 09 15	0.67	5.31	9.1	334	0.0	180	0.66	5.26	334	0.09	12.89	311
2023 09 09 16	0.66	5.38	9.1	334	0.0	180	0.64	5.26	335	0.15	12.74	320
2023 09 09 17	0.65	5.4	9.1	334	0.0	180	0.63	5.27	335	0.15	12.71	319
2023 09 09 18	0.64	5.33	9.1	334	0.0	180	0.62	5.21	335	0.15	12.67	319
2023 09 09 19	0.64	5.23	9.1	334	0.0	180	0.62	5.1	335	0.15	12.63	319
